"","AdmArea","Month","Year","TotalAmount"
"195","Северо-Восточный административный округ","Июль",2018,1847969585.16
"196","Восточный административный округ","Июль",2018,2043251422.98
"197","Юго-Восточный административный округ","Июль",2018,1932796868.51
"198","Южный административный округ","Июль",2018,2148020318.76
"199","Юго-Западный административный округ","Июль",2018,2023271632.57
"200","Западный административный округ","Июль",2018,1628534723.89
"201","Северо-Западный административный округ","Июль",2018,1186714373.85
"202","Зеленоградский административный округ","Июль",2018,385688856.99
"203","Новомосковский административный округ","Июль",2018,195022283.86
"204","Троицкий административный округ","Июль",2018,65656775.62
"205","Центральный административный округ","Июнь",2018,1230541429.98
"206","Северный административный округ","Июнь",2018,1630943187.66
"207","Северо-Восточный административный округ","Июнь",2018,1873090823.98
"208","Восточный административный округ","Июнь",2018,2054962473.25
"209","Юго-Восточный административный округ","Июнь",2018,1939536229.23
"210","Южный административный округ","Июнь",2018,2153349310.51
"211","Юго-Западный административный округ","Июнь",2018,2024487389.48
"212","Западный административный округ","Июнь",2018,1638254408.07
"213","Северо-Западный административный округ","Июнь",2018,1197612729.76
"214","Зеленоградский административный округ","Июнь",2018,388347881.96
"215","Новомосковский административный округ","Июнь",2018,196509932.63
"216","Троицкий административный округ","Июнь",2018,66919372.58
"217","Центральный административный округ","Май",2018,1247099349.01
"218","Северный административный округ","Май",2018,1657097631.63
"219","Северо-Восточный административный округ","Май",2018,1904264992.42
"220","Восточный административный округ","Май",2018,2075303073.61
"221","Юго-Восточный административный округ","Май",2018,1988236582.12
"222","Южный административный округ","Май",2018,2192147385.45
"223","Юго-Западный административный округ","Май",2018,207054076.67
"224","Западный административный округ","Май",2018,1612574935.56
"225","Северо-Западный административный округ","Май",2018,1218435760.02
"226","Зеленоградский административный округ","Май",2018,394841732.16
"227","Новомосковский административный округ","Май",2018,218264493.9
"228","Троицкий административный округ","Май",2018,84981749.7
"229","Центральный административный округ","Март",2018,1238932233.52
"230","Северный административный округ","Март",2018,1657072477.47
"231","Северо-Восточный административный округ","Март",2018,1900823173.86
"232","Восточный административный округ","Март",2018,2081875441.49
"233","Юго-Восточный административный округ","Март",2018,1979967108.92
"234","Южный административный округ","Март",2018,2217593271.63
"235","Юго-Западный административный округ","Март",2018,2069818543.66
"236","Западный административный округ","Март",2018,1667094000.82
"237","Северо-Западный административный округ","Март",2018,1221983061.9
"238","Зеленоградский административный округ","Март",2018,394883273.6
"239","Новомосковский административный округ","Март",2018,237537488.5
"240","Троицкий административный округ","Март",2018,96548484.74
